FIN.TRANSACTION DATE,FIN.POSTING DATE,FIN.TRANSACTION AMOUNT,MCH.MERCHANT NAME,MCH.CITY NAME,FIN.ORIGINAL CURRENCY AMOUNT,FIN.ORIGINAL ISO CURRENCY CODE SYMBOL,FIN.INET CONVERSION,target
20-04-17,21-04-17,11.99,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,11.99,GBP,1,shopping
20-04-17,24-04-17,9.98,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,9.98,GBP,1,shopping
27-04-17,28-04-17,-11.99,AMZ AMAZON.CO.UK +44 2,AMAZON.CO.UK,-11.99,GBP,1,shopping
06-04-17,10-04-17,25.99,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,25.99,GBP,1,shopping
24-04-17,25-04-17,183.06,THE READING AGENCY,LONDON,183.06,GBP,1,general
10-04-17,11-04-17,69.9,AMAZON UK MARKETPLACE,800-279-6620,69.9,GBP,1,shopping
10-04-17,11-04-17,29.99,AMAZON EU,AMAZON.CO.UK,29.99,GBP,1,shopping
11-04-17,12-04-17,329.4,WWW.ODONOVAN.CO.UK,LONDON,329.4,GBP,1,general
11-04-17,12-04-17,15.1,AMAZON UK MARKETPLACE,800-279-6620,15.1,GBP,1,shopping
11-04-17,12-04-17,5.99,AMAZON UK MARKETPLACE,800-279-6620,5.99,GBP,1,shopping
12-04-17,13-04-17,168,BR3620 JEWSON TOOL,HIGHGATE,168,GBP,1,shopping
12-04-17,13-04-17,52,A & Y LOCKSMITHS,LONDON,52,GBP,1,general
24-04-17,25-04-17,-26.88,BR3620 JEWSON TOOL,HIGHGATE,-26.88,GBP,1,shopping
04-04-17,05-04-17,93.65,TESCO STORE 2296,COLNEY HATCH,93.65,GBP,1,shopping
11-04-17,12-04-17,10,TFL OYST PHOTOCARD,0343 222 1234,10,GBP,1,travel
08-04-17,10-04-17,17.44,BUILDER DEPOT LTD,LONDON  N11,17.44,GBP,1,shopping
08-04-17,10-04-17,12.89,WICKES,LONDON,12.89,GBP,1,shopping
08-04-17,10-04-17,121.89,WICKES,LONDON,121.89,GBP,1,shopping
07-04-17,10-04-17,26.65,SAINSBURYS 0513,NTH FINCHLEY,26.65,GBP,1,shopping
07-04-17,10-04-17,115.85,SAINSBURYS 0513,NTH FINCHLEY,115.85,GBP,1,shopping
11-04-17,12-04-17,21.3,B & Q 1067,LONDON,21.3,GBP,1,shopping
11-04-17,12-04-17,18.19,WICKES,LONDON,18.19,GBP,1,shopping
12-04-17,13-04-17,42.42,WICKES,LONDON,42.42,GBP,1,shopping
20-04-17,21-04-17,44.01,WICKES,LONDON,44.01,GBP,1,shopping
22-04-17,24-04-17,65.16,WICKES,LONDON,65.16,GBP,1,shopping
25-04-17,26-04-17,12.35,HOMEBASE LTD 024,LONDON  N11,12.35,GBP,1,shopping
25-04-17,26-04-17,74.72,BUILDER DEPOT N11,2084587700,74.72,GBP,1,shopping
04-04-17,05-04-17,35,TOP GOLF WATFORD,WATFORD,35,GBP,1,sports
05-04-17,06-04-17,1.99,CO-OP GROUP FOOD,104320,1.99,GBP,1,food
04-04-17,06-04-17,16,TOP GOLF,WATFORD,16,GBP,1,sports
09-04-17,10-04-17,81.62,H'VESTER ARNOS ARM,0208 3684456,81.62,GBP,1,food
07-04-17,10-04-17,7.3,TOP GOLF,WATFORD,7.3,GBP,1,sports
07-04-17,10-04-17,48,TOP GOLF WATFORD,WATFORD,48,GBP,1,sports
28-04-17,01-05-17,10,TFL OYST PHOTOCARD,0343 222 1234,10,GBP,1,travel
12-04-17,13-04-17,24.42,AMAZON UK MARKETPLACE,800-279-6620,24.42,GBP,1,shopping
15-04-17,17-04-17,3,SAINSBURYS SACAT 4572,COLINDALE,3,GBP,1,shopping
28-04-17,01-05-17,159.9,BRILLIANT BINS,HUNGERFORD,159.9,GBP,1,shopping
13-04-17,14-04-17,300,SDS SEMINARS LIMITED,UCKFIELD,300,GBP,1,general
25-04-17,26-04-17,10,LUL TICKET MACHINE,FINCHLEY ROAD,10,GBP,1,travel
28-04-17,01-05-17,24,DOMINO'S,WEMBLEY,24,GBP,1,food
20-04-17,21-04-17,5.29,AMAZON UK MARKETPLACE,800-279-6620,5.29,GBP,1,shopping
22-04-17,24-04-17,40.6,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,40.6,GBP,1,shopping
26-04-17,27-04-17,34.06,AMAZON UK MARKETPLACE,800-279-6620,34.06,GBP,1,shopping
27-04-17,01-05-17,92.99,PREMIER INN,COVENTRY,92.99,GBP,1,travel
03-04-17,04-04-17,34,ASDA SUPERSTORE,S'GATE CIRCUS,34,GBP,1,shopping
03-04-17,04-04-17,139.64,TESCO STORES 6440,LONDON EN8,139.64,GBP,1,shopping
04-04-17,05-04-17,10,TFL OYST PHOTOCARD,0343 222 1234,10,GBP,1,travel
05-04-17,06-04-17,100,JD SPORTS PLC,BR 710 ENFIEL,100,GBP,1,sports
06-04-17,07-04-17,152.65,TESCO STORES 6440,LONDON EN8,152.65,GBP,1,shopping
10-04-17,11-04-17,57.6,UNIQUE OFFICE SOLU,ILFORD,57.6,GBP,1,shopping
10-04-17,11-04-17,-30.91,ASDA GEORGE COM LEEDS,LEEDS,-30.91,GBP,1,shopping
10-04-17,11-04-17,-176.25,YOUNGDRIVER,44844371901,-176.25,GBP,1,kids
12-04-17,13-04-17,20,PABULUM CATERING,1252360565,20,GBP,1,food
13-04-17,14-04-17,100,JD SPORTS PLC,BR 710 ENFIEL,100,GBP,1,sports
12-04-17,14-04-17,90,PARENTPAY E-COM R,BRIDGWATER,90,GBP,1,kids
15-04-17,17-04-17,149.85,TESCO STORES 6440,LONDON EN8,149.85,GBP,1,shopping
17-04-17,18-04-17,66.3,MAKRO SELF SERVICE ENF,MIDDLESEX,66.3,GBP,1,general
18-04-17,19-04-17,27,SAINSBURYS 0420,WINCHMORE HIL,27,GBP,1,
19-04-17,20-04-17,4,SAINSBURYS SACAT 0124,BARNET,4,GBP,1,
20-04-17,21-04-17,10,TFL OYST PHOTOCARD,0343 222 1234,10,GBP,1,
21-04-17,24-04-17,25.38,QUEEN ELIZABETHS GIRL,BARNET,25.38,GBP,1,
21-04-17,24-04-17,77.79,WWW.CICSLIMITED.CO.UK,INTERNET,77.79,GBP,1,
23-04-17,25-04-17,74.3,SKY SUBSCRIPTION,8442411653,74.3,GBP,1,
25-04-17,27-04-17,60,PARENTPAY E-COM R,BRIDGWATER,60,GBP,1,
27-04-17,28-04-17,144.71,TESCO STORES 6440,LONDON EN8,144.71,GBP,1,
01-05-17,02-05-17,151.21,TESCO STORES 6440,LONDON EN8,151.21,GBP,1,
02-05-17,03-05-17,10,PABULUM CATERING,1252360565,10,GBP,1,
11-04-17,12-04-17,265,L.B BARNET PEST CO,LONDON  N11,265,GBP,1,
12-04-17,13-04-17,39,TESCO STORES 6440,LONDON EN8,39,GBP,1,
24-04-17,25-04-17,83.25,TESCO STORES 6440,LONDON EN8,83.25,GBP,1,
05-04-17,06-04-17,89.98,AMAZON EU,AMAZON.CO.UK,89.98,GBP,1,
06-04-17,10-04-17,13.98,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,13.98,GBP,1,
10-04-17,11-04-17,8.05,TOOLSTATION LTD,NEW SOUTHGATE,8.05,GBP,1,
10-04-17,11-04-17,62.06,TOOLSTATION LTD,NEW SOUTHGATE,62.06,GBP,1,
20-04-17,21-04-17,327.34,SELCO TRADING CTR,NEW SOUTHGATE,327.34,GBP,1,
27-04-17,28-04-17,20,OYSTER AUTOTOPUP,0343 2221234,20,GBP,1,
29-04-17,01-05-17,33.99,AMAZON UK MARKETPLACE,800-279-6620,33.99,GBP,1,
04-04-17,05-04-17,-199.99,AMZ SHARK UK,800-279-6620,-199.99,GBP,1,
04-04-17,05-04-17,0.5,L B BARNET PARKING,LONDON,0.5,GBP,1,
05-04-17,06-04-17,621.6,WWW.OFFICEFURNITUREONL,INTERNET,621.6,GBP,1,
05-04-17,06-04-17,621.6,WWW.OFFICEFURNITUREONL,INTERNET,621.6,GBP,1,
10-04-17,11-04-17,119.96,AMAZON UK MARKETPLACE,800-279-6620,119.96,GBP,1,
10-04-17,11-04-17,13.99,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,13.99,GBP,1,
12-04-17,12-04-17,24.52,AMAZON UK MARKETPLACE,800-279-6620,24.52,GBP,1,
11-04-17,12-04-17,8.89,AMAZON EU,AMAZON.CO.UK,8.89,GBP,1,
11-04-17,12-04-17,39.38,AMAZON UK MARKETPLACE,800-279-6620,39.38,GBP,1,
11-04-17,12-04-17,11.49,AMAZON UK MARKETPLACE,800-279-6620,11.49,GBP,1,
11-04-17,12-04-17,4.95,AMAZON UK MARKETPLACE,800-279-6620,4.95,GBP,1,
11-04-17,12-04-17,746.4,WWW.OFFICEFURNITUREONL,INTERNET,746.4,GBP,1,
11-04-17,12-04-17,4.99,AMAZON UK MARKETPLACE,800-279-6620,4.99,GBP,1,
11-04-17,12-04-17,56.7,AMAZON UK MARKETPLACE,800-279-6620,56.7,GBP,1,
12-04-17,13-04-17,119.98,AMAZON UK MARKETPLACE,800-279-6620,119.98,GBP,1,
11-04-17,13-04-17,11.49,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,11.49,GBP,1,
13-04-17,14-04-17,18,AMAZON EU,AMAZON.CO.UK,18,GBP,1,
18-04-17,19-04-17,59.98,AMAZON UK MARKETPLACE,800-279-6620,59.98,GBP,1,
25-04-17,27-04-17,14.99,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,14.99,GBP,1,
01-05-17,02-05-17,86.38,AMAZON UK MARKETPLACE,800-279-6620,86.38,GBP,1,
02-05-17,03-05-17,25.67,AMAZON UK MARKETPLACE,800-279-6620,25.67,GBP,1,
05-04-17,06-04-17,192.78,SAINSBURYS TO YOU 0444,ENFIELD,192.78,GBP,1,
05-04-17,06-04-17,-2.05,SAINSBURYS TO YOU 0444,ENFIELD,-2.05,GBP,1,
06-04-17,07-04-17,74.3,ASDA SUPERSTORE,S'GATE CIRCUS,74.3,GBP,1,
13-04-17,14-04-17,9.9,SAINSBURYS 0513,NTH FINCHLEY,9.9,GBP,1,
13-04-17,14-04-17,161.43,SAINSBURYS 0513,NTH FINCHLEY,161.43,GBP,1,
17-04-17,18-04-17,207.3,SAINSBURYS TO YOU 0444,ENFIELD,207.3,GBP,1,
20-04-17,21-04-17,63.03,ASDA SUPERSTORE,S'GATE CIRCUS,63.03,GBP,1,
20-04-17,21-04-17,87.54,AMAZON UK MARKETPLACE,800-279-6620,87.54,GBP,1,
22-04-17,24-04-17,30.94,AMAZON UK MARKETPLACE,800-279-6620,30.94,GBP,1,
21-04-17,24-04-17,3.38,AMAZON UK MARKETPLACE,800-279-6620,3.38,GBP,1,
21-04-17,24-04-17,280.5,WWW.EUREKADIRECT.CO.UK,INTERNET,280.5,GBP,1,
20-04-17,24-04-17,39.58,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,39.58,GBP,1,
24-04-17,25-04-17,123.39,ASDA SUPERSTORE,S'GATE CIRCUS,123.39,GBP,1,
24-04-17,25-04-17,10,POST OFFICE COUNTER,LONDON,10,GBP,1,
26-04-17,27-04-17,33.02,ASDA SUPERSTORE,S'GATE CIRCUS,33.02,GBP,1,
27-04-17,28-04-17,20,SAINSBURYS,LONDON,20,GBP,1,
28-04-17,01-05-17,40.6,SAINSBURYS 0513,NTH FINCHLEY,40.6,GBP,1,
28-04-17,01-05-17,178.18,SAINSBURYS 0513,NTH FINCHLEY,178.18,GBP,1,
01-05-17,02-05-17,151.48,SAINSBURYS TO YOU 0444,ENFIELD,151.48,GBP,1,
20-04-17,21-04-17,195,LB BARNET PCN ATP,LONDON,195,GBP,1,
20-04-17,21-04-17,195,LB BARNET PCN ATP,LONDON,195,GBP,1,
20-04-17,21-04-17,195,LB BARNET PCN ATP,LONDON,195,GBP,1,
20-04-17,21-04-17,242.5,DVLA VEHICLE TAX,0300 1234321,242.5,GBP,1,
20-04-17,21-04-17,242.5,DVLA VEHICLE TAX,0300 1234321,242.5,GBP,1,
19-04-17,21-04-17,193,AA VEHICLE INSPECTIONS,BASINGSTOKE,193,GBP,1,
19-04-17,21-04-17,241.57,AA VEHICLE INSPECT INT,BASINGSTOKE,241.57,GBP,1,
20-04-17,24-04-17,195,LONDON BOROUGH OF HARR,HARROW,195,GBP,1,
20-04-17,24-04-17,195,LONDON BOROUGH OF HARR,HARROW,195,GBP,1,
20-04-17,24-04-17,195,LONDON BOROUGH OF HARR,HARROW,195,GBP,1,
20-04-17,24-04-17,195,LONDON BOROUGH OF HARR,HARROW,195,GBP,1,
25-04-17,26-04-17,805,POST OFFICE COUNTER,LONDON,805,GBP,1,
25-04-17,27-04-17,254,AA VEHICLE INSPECTIONS,BASINGSTOKE,254,GBP,1,
25-04-17,27-04-17,254,AA VEHICLE INSPECTIONS,BASINGSTOKE,254,GBP,1,
25-04-17,27-04-17,-193,AA VEHICLE INSPECTIONS,BASINGSTOKE,-193,GBP,1,
26-04-17,28-04-17,-241.57,AA VEHICLE INSPECT INT,BASINGSTOKE,-241.57,GBP,1,
18-04-17,19-04-17,26.88,POST OFFICE COUNTER,EDGWARE,26.88,GBP,1,
18-04-17,19-04-17,6.3,TESCO STORES 5655,EDGWARE,6.3,GBP,1,
27-04-17,28-04-17,20,OYSTER AUTOTOPUP,0343 2221234,20,GBP,1,
30-04-17,01-05-17,20,OYSTER AUTOTOPUP,0343 2221234,20,GBP,1,
28-04-17,01-05-17,4,POUNDLAND LTD 1181,EDGWARE,4,GBP,1,
01-04-17,04-04-17,5,CREATESEND/COM,SYDNEY,5,GBP,1,
04-04-17,05-04-17,17,CREATESEND/COM,SYDNEY,17,GBP,1,
06-04-17,07-04-17,4.95,RECIPERO,RECIPERO,4.95,GBP,1,
18-04-17,19-04-17,100,EB  NATIONAL AMHP LEAD,801-413-7200,100,GBP,1,
19-04-17,20-04-17,5.7,AMAZON UK MARKETPLACE,800-279-6620,5.7,GBP,1,
19-04-17,20-04-17,33.06,AMAZON UK MARKETPLACE,800-279-6620,33.06,GBP,1,
19-04-17,20-04-17,8.2,WAITROSE 124,WHETSTONE,8.2,GBP,1,
20-04-17,21-04-17,2.47,AMAZON UK MARKETPLACE,800-279-6620,2.47,GBP,1,
19-04-17,21-04-17,35.95,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,35.95,GBP,1,
01-05-17,02-05-17,5,CREATESEND/COM,SYDNEY,5,GBP,1,
08-04-17,10-04-17,20,OYSTER BUS AUTOTOP,0343 2221234,20,GBP,1,
06-04-17,07-04-17,116.39,WWW.NISBETS.COM,0845 1110281,116.39,GBP,1,
18-04-17,19-04-17,118.46,TESCO STORES 6440,LONDON EN8,118.46,GBP,1,
24-04-17,25-04-17,188.63,TESCO STORES 6440,LONDON EN8,188.63,GBP,1,
02-05-17,03-05-17,111.79,TESCO STORES 6440,LONDON EN8,111.79,GBP,1,
06-04-17,07-04-17,174,HMCOURTS-SERVICE.G,845940111,174,GBP,1,
19-04-17,20-04-17,"2,799.00",HMCOURTS-SERVICE.G,8459400111,"2,799.00",GBP,1,
24-04-17,25-04-17,245,HMCOURTS-SERVICE.G,845940111,245,GBP,1,
24-04-17,25-04-17,"1,225.00",HMCOURTS-SERVICE.G,845940111,"1,225.00",GBP,1,
28-04-17,01-05-17,159,HMCOURTS-SERVICE.G,8459400111,159,GBP,1,
05-04-17,07-04-17,127.98,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,127.98,GBP,1,
24-04-17,25-04-17,20,OYSTER AUTOSETTLE,0343 2221234,20,GBP,1,
26-04-17,27-04-17,40,OYSTER BUS AUTOTOP,0343 2221234,40,GBP,1,
07-04-17,10-04-17,41.44,ARGOS RETAIL GROUP,INTERNET,41.44,GBP,1,
07-04-17,10-04-17,159.99,ARGOS RETAIL GROUP,INTERNET,159.99,GBP,1,
10-04-17,11-04-17,458,CRAZY DISCOUNTS,LONDON  N12,458,GBP,1,
13-04-17,14-04-17,45.88,ARGOS RETAIL GROUP,INTERNET,45.88,GBP,1,
12-04-17,14-04-17,181.34,WWW.ARGOS.CO.UK,INTERNET,181.34,GBP,1,
19-04-17,20-04-17,149.99,CURRYS ONLINE,HEMEL HEMPSTE,149.99,GBP,1,
19-04-17,20-04-17,114.82,ARGOS RETAIL GROUP,INTERNET,114.82,GBP,1,
02-05-17,03-05-17,81.9,ARGOS RETAIL GROUP,INTERNET,81.9,GBP,1,
04-04-17,05-04-17,6,TESCO DELIVERY SAVER2,1707298000,6,GBP,1,
10-04-17,11-04-17,22,POUNDLAND LTD,WILLENHALL,22,GBP,1,
19-04-17,20-04-17,155.97,AMAZON UK MARKETPLACE,800-279-6620,155.97,GBP,1,
19-04-17,20-04-17,74.98,AMAZON UK MARKETPLACE,800-279-6620,74.98,GBP,1,
05-04-17,06-04-17,1.87,WESTMINSTER PARKING,LONDON,1.87,GBP,1,
05-04-17,06-04-17,5.85,EAT,LONDON  EC1N,5.85,GBP,1,
05-04-17,06-04-17,2.4,LB CAMDEN PARKING,CAMDEN,2.4,GBP,1,
12-04-17,13-04-17,9.4,LB CAMDEN PARKING,CAMDEN,9.4,GBP,1,
12-04-17,13-04-17,7,OASIS COFFEE SHOP,LONDON,7,GBP,1,
18-04-17,19-04-17,17,A&Y LOCKSMITHS,BOREHAMWOOD W,17,GBP,1,
26-04-17,27-04-17,59.5,ASDA GEORGE COM LEEDS,LEEDS,59.5,GBP,1,
20-04-17,21-04-17,69,WWW.ISTOCK.COM,866-478-6251,69,GBP,1,
20-04-17,21-04-17,132,WWW.ISTOCK.COM,866-478-6251,132,GBP,1,
21-04-17,24-04-17,699,WWW.GETTYIMAGES.COM,0800-376-7977,699,GBP,1,
12-04-17,13-04-17,10.95,KFC BARNET,BARNET,10.95,GBP,1,
13-04-17,14-04-17,27.85,NEPTUNES,SOUTHEND-ON-S,27.85,GBP,1,
13-04-17,14-04-17,34,ADVENTURE ISLAND,SOUTHEND ON S,34,GBP,1,
13-04-17,14-04-17,40.4,LIVERPOOL STREET TICKE,LONDON,40.4,GBP,1,
13-04-17,14-04-17,19,BABA CONFECTIONERY,LONDON,19,GBP,1,
13-04-17,14-04-17,32.9,CAMPAIGNMONITOR,SYDNEY,40,USD,1.22,
17-04-17,19-04-17,72.83,CAMPAIGNMONITOR,SYDNEY,89,USD,1.22,
21-04-17,24-04-17,39.53,CAMPAIGNMONITOR,SYDNEY,49,USD,1.24,
03-04-17,04-04-17,30,HOLLOWAY PLASTICS LTD,WALSALL,30,GBP,1,
04-04-17,05-04-17,329.99,LEGO EDUCATION,80053465555,329.99,GBP,1,
03-04-17,05-04-17,8.33,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,8.33,GBP,1,
05-04-17,06-04-17,9.98,AMAZON UK MARKETPLACE,800-279-6620,9.98,GBP,1,
05-04-17,06-04-17,38.82,AMAZON UK MARKETPLACE,800-279-6620,38.82,GBP,1,
05-04-17,06-04-17,27.49,AMAZON UK MARKETPLACE,800-279-6620,27.49,GBP,1,
05-04-17,06-04-17,24.76,AMAZON UK MARKETPLACE,800-279-6620,24.76,GBP,1,
05-04-17,06-04-17,8.97,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,8.97,GBP,1,
05-04-17,06-04-17,5.3,AMAZON EU,AMAZON.CO.UK,5.3,GBP,1,
05-04-17,06-04-17,6.27,AMAZON UK MARKETPLACE,800-279-6620,6.27,GBP,1,
05-04-17,06-04-17,220.26,WWW.CARSUK.ORG,INTERNET,220.26,GBP,1,
06-04-17,07-04-17,23.99,AMAZON UK MARKETPLACE,800-279-6620,23.99,GBP,1,
06-04-17,07-04-17,15.2,AMAZON UK MARKETPLACE,800-279-6620,15.2,GBP,1,
06-04-17,07-04-17,6.43,AMAZON UK MARKETPLACE,800-279-6620,6.43,GBP,1,
05-04-17,07-04-17,59.22,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,59.22,GBP,1,
06-04-17,10-04-17,10.28,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,10.28,GBP,1,
06-04-17,10-04-17,9,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,9,GBP,1,
10-04-17,11-04-17,9.81,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,9.81,GBP,1,
10-04-17,11-04-17,5.99,AMAZON UK MARKETPLACE,800-279-6620,5.99,GBP,1,
11-04-17,12-04-17,240,BROADCAST RADIO LTD,4.41482E+11,240,GBP,1,
10-04-17,12-04-17,324.36,ENVIRO WASTE LONDON LT,2085565056,324.36,GBP,1,
24-04-17,25-04-17,1.5,L B BARNET PARKING,LONDON,1.5,GBP,1,
25-04-17,26-04-17,96.64,TESCO STORE 2122,BRENT PARK,96.64,GBP,1,
03-04-17,04-04-17,129.88,AMAZON UK MARKETPLACE,800-279-6620,129.88,GBP,1,
03-04-17,04-04-17,42.98,AMAZON UK MARKETPLACE,800-279-6620,42.98,GBP,1,
04-04-17,05-04-17,27.18,ARGOS RETAIL GROUP,INTERNET,27.18,GBP,1,
04-04-17,05-04-17,69.99,AMAZON UK MARKETPLACE,800-279-6620,69.99,GBP,1,
04-04-17,05-04-17,278.94,ARGOS RETAIL GROUP,INTERNET,278.94,GBP,1,
05-04-17,06-04-17,455.87,CARPETRIGHT,COLINDALE,455.87,GBP,1,
06-04-17,07-04-17,96.89,WWW.ARGOS.CO.UK,INTERNET,96.89,GBP,1,
21-04-17,24-04-17,160,BRITISH HEART,FINCHLEY,160,GBP,1,
26-04-17,27-04-17,23.4,GRO HM PASSPORT OFFICE,SOUTHPORT,23.4,GBP,1,
02-05-17,03-05-17,364.99,CURRYS ONLINE,HEMEL HEMPSTE,364.99,GBP,1,
10-04-17,11-04-17,127.75,SAINSBURYS 0513,NTH FINCHLEY,127.75,GBP,1,
10-04-17,11-04-17,92,SAINSBURYS 0513,NTH FINCHLEY,92,GBP,1,
21-04-17,24-04-17,137.02,SAINSBURYS 0513,NTH FINCHLEY,137.02,GBP,1,
21-04-17,24-04-17,32.07,SAINSBURYS 0513,NTH FINCHLEY,32.07,GBP,1,
25-04-17,26-04-17,13,TESCO STORE 2296,COLNEY HATCH,13,GBP,1,
25-04-17,26-04-17,51.17,TESCO STORE 2296,COLNEY HATCH,51.17,GBP,1,
10-04-17,11-04-17,216.6,ANGEL SPRINGS LTD,WOLVERHAMPTON,216.6,GBP,1,
13-04-17,14-04-17,168,B&Q DIRECT,0845 609 6688,168,GBP,1,
13-04-17,17-04-17,172.2,B & Q 1162,ERSKINE,172.2,GBP,1,
18-04-17,19-04-17,118.88,WWW.PCWB.COM,BURY,118.88,GBP,1,
20-04-17,21-04-17,21.44,WWW.PETSATHOME.COM,WILMSLOW,21.44,GBP,1,
21-04-17,24-04-17,77.1,SAINSBURYS 0124,NEW BARNET,77.1,GBP,1,
24-04-17,25-04-17,8.65,SAINSBURYS 0124,NEW BARNET,8.65,GBP,1,
06-04-17,07-04-17,45,LBBARNET PAYENET,LONDON,45,GBP,1,
13-04-17,14-04-17,15,LBBARNET PAYENET,LONDON,15,GBP,1,
02-05-17,03-05-17,41.76,GRO HM PASSPORT OFFICE,SOUTHPORT,41.76,GBP,1,
